,responses,summary
35,"1) Regularly use debriefing with clients after restraint event. 2) Concentrate on trauma aware strategies during care  I will discuss in huddles and team rounds; remind staff to practice Importance of teamwork discussion Many ideas on the importance of de-briefinf for the patients well being but never actually completed on unit would to advocate and ensure its done.  I would be able to safety apply mechanical and physical restraints on client. When to use chemical restraint. When to use mechanical restraint. why?  Team control Model In situation when client escalates and not to move him, mechanical restraints is the best source.  Utilize/practise skill in team huddle; when attempting to restrain a patient/client (when de-escalation fails) ",use debriefing after the restraint event. Concentrate on trauma-aware strategies. Remind staff of the importance of teamwork. Advocate and ensure the debriefing for clients is done. Team control model when client escalates. Utilize skills in the team huddle
42,"Self care check in with self and team decision -restraints? Awareness and discussion of moral conflict, distress, and residue was helpful to take back to my daily work.  For client and staff safety, less trauma inflicted to client 1) I am going to try the ""calm"" , ""headspace"" App and then offer it to client. I really wanted some self-care tips so this was nice. 2) I feel better about the refresher around restraints and when to use them (and how) I will use all the info as I have never used restraints in a clinical situation Enhance my practice by understanding gap in my training. Practicing restraints so I am ready in situation.  When we have an aggressive patient  I am familiear with the signs of agitation behavior. I can recognize the early agitation behavior and use safe method to approach Effective communication using restraints as a last resort  Utilizing the short and long term self care plans, being mindful and aware of moral conflict, distress, and preventing residue by being mindlful. Recognizing and addressing ","Check self-care during work. Be aware and discuss about moral conflict, distress and residue. More trauma-awareness. Try apps built for self-care. Learned about how to use restraints. Practice restraints. More familiar with and recognize signs of agitation behavior. Apply both short and long term self-care plans."
12,"More confident about what is required in terms of staff training and equipment needs, also reaffirmed imperative to enhance staff de-escalation skills to avoid restraint.  Be more involved in restraint to comfort. Do de-escalation in a more informed way. The multi-person physical restraints was helpful to review. On unit practice at regulat intervals would be more helpful to help build muscle memory and natural movement.  Will use physical restraint/mechanical restraint confidently  In terms of skills, hand control and the use of restraints  This training was really useful to increase my confidence in applying restraints and removing My ability to initiate and utilize restraint and mild aggressive to escalated aggressive behavioural patient using the level 2-physical restraints",Staff training and equipment needs. Enhance de-escalation skills to avoid restraint. Restraint to comfort. Review multi-person physical restraints. More practice. Will restraints more confidently. Hand control. Increase confident when applying. Escalate aggressive behavioural patient using restraints.
13,"Self care during work and before and after (deep breathing, positive motivation, olfactory). Sa Safer way of using restraint and self-care  Put more effort in my own self-care  Practice hand control when at work and practice self wellness I plan to be diligent in my self-care strategies and keep practicing my restraints regularly  Self care- intend to begin regimen; awareness of cognitive dissonance, very enlightening; feel more confident with skills Better self-care  Self-care everyday - set goals for myself. Keep trauma in mind with clients  Managing self Self-care and restraints ","Staff needs better and more effective self-care and utilizing more self-strategies such as deep breathing, positive motivation and practicing self-wellness and setting goals."
2,"During times verbal direct on/de-escalation was not working  Knowing when to use proper restraints  Hand control, anchor using anchors more. Using hand controls more. Safe application of the shoulder strap. Scan all beds for appropriate landmarks for restraint application. Restraint application and self-protection  Applying extender to limb restraints to establish better control  More restraints practice  Using the level 2 physical restraint and method is helpful for a falls risk patient Using the 3 different levels of restraints during codes or for transfer ",Verbal direct was not working sometimes. Using more hand controls and scanning all beds for landmarks and applying extender to limb for better restraint application. Using level 2 or 3 physical restrain is helpful as well.
10,"1. Restraint use 2. De-escalation  Proper use of limb restraints  New adjustment when applying the limb restraints with less pin/locks. Application on extenders Proper use of mechanical restraints Used in de-escalation techniques  Use what I learn to plan how to apply the different levels of restraints when a situation requires it  Restraint techniques, self-defense techniques w/o use of force  If I ever need to restrain someone I will know what to think about and hopefully know what to do  Mechanical restraint practice as I was not comfortable with the mech restraints before today  Restraints application, hand controls while restraining on stretcher bed ","Use of restraint, de-escalation and limb restraints. Apply limb restraints with less pin. Apply extenders. Use mechanical restraints properly in de-escalation. Apply different levels of restraints. Self-defence techniques. When needed to restrain someone. Practice mechanical restraint. Hand controls when restraining."
24,When client and danger to self and others  Once the client escalate and was not de-escalating then chemical restrains needed over mechanical restraints  How to apply restraints on a client and how to do self-defense  When placing a client in seclusion and de-escalation strategies  Putting the client in the seclusion; putting the client in the restraint Apply it to difficult clients I will use this durig therapuetic engagement with client if clients not responding. All decisions should be made with team involvement and not individual calling decisions  Catching escalation early. Spending more time with clients  When patient is going - no seclusion. De-escalating patient  De-escalate and redirect agitated clients before restraints ,We need to apply chemical restraints over mechanical restraints. We also need to improve self-defence skills in case of danger. Drug therapeutic engagement with the client if the client not responding. Having more team involvement and spending more time with clients. De-escalate and redirect angry clients before restraining them.
7,"Definitely needed a refresher in restraints, now I feel confident in my ability to use them  Physical and mechnical restraints.  Better understanding of how I can participate in physical -mechanical restraints Use new technique to resrict movement while in stretcher restraint I never used mechanical restraints before it wasgood to review this skill Improved confidence in restraint/control. Be more aware of escalations, de-escalate if possible to prevent restraints  Communicating with the team about the importance of 4 people holding on limbs when applying mechanical restraints  1) Involvement in team controls 2) Involvement in mechanical restraints  Effectively applying limb restraints and intiating trial release ",Use new technique in stretcher restraint to restrict movement. Be more aware of escalations. Team controls and effectively apply limb restraints.
23,When clients are sedated and disorganized wantering unit and when clients escalate  We seldom use it but when client is aggressive  De-escalation techniques and aggressive client  When clients escalate and are unwilling to follow directions When clients need to go in restraints to prevent them from harming self or others Recognizing the changes in cients status to initiate de-esclating techniques De-esclate client. Safely and effectively apply restraints  When a client needs to be put in mechanical restraints or locked seclusion  How to be mindful of potential assaults during transitions in the restraints and To complete a client debrief to the extent the client is comfortable with in a structured but casual manner. When dealing with aggressive clients ,Only use de-escalation when client is aggressive. Use de-escalation when client are unwilling to follow directions. Use restraints to prevent client from harming themselves or others. Recognize changes in clients. Be mindful of potential assaults during transitions. Make client comfortable in debriefing.
6,Safely remove restraints without patient or staff injury. Two person level 1 Restraint; Two person level 2 Restraint The stretcher restraints because we do not use very often or I do not remember using it at all so it was my first training on a stretcher. Good job it was a good review and a new skill for me  Importance of de-briefinf/knowing when to intiate restraints  Illegible de-escalation  How to transport patients to restraint beds Proper use of restraint technique  Restraint application and physical intervention  2-5 person physical restraints team control and moral conflict distress Consult team when discussing restraints use ,"Safely remove restraints, when to initiate restraints, how to transport patients, team control and deal with moral conflict."
