Gender ,Unit Location ,Time in role,TIDES Day 1,TIDES Day 2,TIDES Day 3,TIDES Orientation ,TIDES Physical Skills Pre-reqs ,Safe & Well Trainings,Safe & Well Trainings_open ,PreKnowledge1 ,PreKnowledge2,PreKnowledge3,PreKnowledge4,PreKnowledge5,PreKnowledge6,PreKnowledge7,PreKnowledge8,PreKnowledge9,PreKnowledge10,PreKnowledge11,PreKnowledge12,PreConfidence1,PreConfidence2,PreConfidence3,PreConfidence4,PreConfidence5,PreConfidence6,PreConfidence7,PreConfidence8,PostKnowledge1 ,PostKnowledge2,PostKnowledge3,PostKnowledge4,PostKnowledge5,PostKnowledge6,PostKnowledge7,PostKnowledge8,PostKnowledge9,PostKnowledge10,PostKnowledge11,PostKnowledge12,PostConfidence1,PostConfidence2,PostConfidence3,PostConfidence4,PostConfidence5,PostConfidence6,PostConfidence7,PostConfidence8,LearningAreas1,LearningAreas2,LearningAreas3,LearningAreas4,LearningAreas5,LearningAreas6,LearningAreas7,ContentAreas1,ContentAreas2,ContentAreas3,ContentAreas4,ContentAreas5,ContentAreas6,Intent2Use_Open,Intentnotuse_Open,Satisfaction,Otherfeedback_open,PreK,PostK,PreC,PostC,PreKScore,PostKScore,PreCScore,PostCScore
.,1,6,1,1,.,.,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,.,4,3,4,4,4,4,4,.,.,3,.,4,4,4,4,48,48,32,32
.,1,2,1,1,.,.,1,2,.,5,5,5,4,3,2,2,1,1,5,4,4,4,4,4,4,4,1,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,.,5,4,4,4,4,4,4,"Self care during work and before and after (deep breathing, positive motivation, olfactory). Sa",,,,3.416666667,5,3.75,5,38,60,34,40
.,1,1,2,2,2,.,1,.,.,4,4,4,4,4,3,3,3,3,4,4,5,4,4,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,.,3.75,5,3.75,5,43,60,36,40
.,1,1,1,2,1,.,2,2,.,5,5,4,5,5,3,3,4,5,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,4,5,4,5,5,5,5,5,.,5,4,4,4,4,3,3,.,.,5,It was a nice retreat to be to out from the unit and chat and learn from one another ,4.25,5,4,4.625,48,59,36,38
.,1,2,1,1,.,.,1,2,.,4,4,4,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,5,4,4,4,4,4,4,.,.,5,.,3.666666667,5,3.5,5,42,60,34,40
Female ,1,3,1,1,.,1,1,1,PMAB,5,5,5,5,5,5,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,.,5,4,4,4,4,4,4,In the applications on mechanical restraints and in management of aggressive behaviors ,.,5,It is great! Well done. ,4.833333333,5,5,5,58,60,40,40
Male,1,4,1,1,.,.,1,2,.,4,4,4,4,4,4,2,4,4,4,4,4,3,4,3,3,3,3,3,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,.,5,4,4,4,4,4,4,Apply same type of restraint to wrists/hands as to foot. Adjust tightness so not a chooking hazard ,.,4,"Presenters gave relevant info and skipped the fillers, Thank you! ",3.833333333,4.083333333,3.25,4,43,48,30,36
Female ,1,3,1,1,.,.,1,.,.,4,4,4,4,5,3,2,2,3,4,4,4,4,2,2,2,2,2,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,.,4,4,4,4,4,4,4,Properly putting restraints on i.e. feet together closer ,.,4,Great job teaching! Thank you! ,3.583333333,4,2.75,4,37,48,28,32
Female ,1,1,1,1,.,2,2,2,.,3,3,4,4,4,3,3,3,3,3,4,2,4,4,3,3,3,3,4,4,4,4,4,5,4,5,5,5,5,4,5,5,4,4,4,4,4,4,4,4,5,3,4,4,5,1,4,4,4,4,2,4,4,1) Completing more casual client debriefs as oppose to just seeing it as a task to check off 2) More motivated to implement self-care strategies ,.,4,I think the service user could be more invovled. I didn't visualize what that title meant and genge seemed a bit off to the side. Would be cool to hear his tips/experience if he was comfortable sharing ,3.25,4.583333333,3.5,4,39,54,31,32
.,1,2,.,.,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,.,3,4,4,4,4,4,4,Practice,.,4,.,4,4,4,4,48,48,32,28
Male,1,1,1,1,.,1,1,2,.,4,5,5,3,5,5,5,5,5,4,5,5,5,5,5,5,5,5,5,5,4,4,5,3,4,5,5,5,5,4,5,5,4,5,5,5,5,5,5,5,5,3,4,5,3,2,4,2,1,4,2,2,2,Helping client to complete a debrief session ,.,4,.,4.666666667,4.5,5,4.875,59,57,36,37
Female,1,3,1,1,.,1,1,.,.,3,3,5,4,4,3,3,3,3,4,4,4,4,4,3,3,3,3,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,3,3,3,3,3,3,.,.,4,.,3.583333333,4,3.5,4,42,48,30,32
Female,1,2,1,1,.,.,1,.,.,4,5,5,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,2,3,2,2,2,2,2,2,2,2,2,2,2,Reminder of trauma-informed care. It was nice to have the service user educator present for a different perspective ,.,3,ED special training would be appreciated. Same team control demos were not applicable/practice to ED setting.,4.333333333,5,5,5,54,60,40,29
Female,1,3,1,1,.,.,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,5,5,5,4,5,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,5,5,5,5,5,5,5,4,4,4,4,4,4,1. Applying restraints and removing in way instructed today. 2. Trying to manage the client to try and prevent the use of mechanical restraints. ,.,5,.,4,4.333333333,4,4.125,48,50,35,36
Male,1,2,1,1,.,.,1,.,.,3,4,5,4,4,2,2,2,4,4,5,5,4,5,3,3,3,3,3,5,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,.,4,4,4,4,4,4,4,.,.,4,.,3.666666667,4,3.625,4,43,48,30,32
Male,1,3,1,1,.,.,.,.,.,4,4,4,4,4,4,4,4,4,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,4,4,4,4,4,4,.,.,5,Training was very informative. I have had hands on assault so its more important for me personally ,4.166666667,5,5,5,54,60,40,40
Female,1,3,1,1,.,.,.,.,.,4,5,4,5,4,3,3,3,3,4,4,4,3,4,3,3,3,3,4,4,5,5,5,5,5,4,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,5,4,5,4,4,4,3,4,3,3,2,3,Participate with more confidence in code whites and proper hand-hold technique ,.,4,.,3.833333333,4.5,3.375,4,41,50,34,34
Male,1,3,1,1,.,1,1,.,.,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,.,4,0,4,0,48,0,16,0
Female,1,2,1,1,.,1,2,2,.,3,3,4,5,2,2,2,2,2,4,3,2,5,4,3,2,2,3,5,4,4,4,4,4,5,5,5,5,.,3,3,3,4,4,4,4,5,5,3,5,5,5,5,4,4,4,5,3,3,3,3,4,4,.,.,4,.,2.833333333,3.75,3.5,4.25,33,45,30,37
